awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00557,公益財団法人北海道環境財団,久保田 学,地域再生との統合による地域気候政策の加速事例の要因分析,"本研究は, 地域再生と統合された気候エネルギー対策が活発なオーストリアの中小規模自治体を対象に, その成立・促進要因を解明する目的で事例調査を実施したものである。具体的には, 既往研究が少ない南東部のシュタイヤーマルク州, ケルンテン州を中心に, 同国のエネルギー自治体認証制度「e5」等に参加し, ローカルアジェンダ21などを活用したボトムアップの地域づくりに取り組む中小規模自治体, 及びそれらを支援する州レベルの推進組織・関係機関等を2018年8～9月にかけて訪問し, ヒアリング調査を行った。その結果, 気候対策の住民利益としての認識, 政治的リーダーシップ, 手厚い住民参加プロセス, 気候エネルギー対策専門支援組織の存在, 連邦・州レベルの段階的な支援政策等を共通要素として抽出することができた。これらは, 過去の同国他州における事例研究とも概ね一致しており, 同国の地域気候政策を支える共通の社会基盤であると考えられるが, 新たに州レベルの住民参加専門支援組織の活動や, 条件不利地における長期にわたる内発的な対話プロセス, 効用等を確認することができた。",奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,気候エネルギー政策,住民参加,運輸連合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00556,京都大学,多田 康平,ヘリウムサイクルの高効率化を志向した液体ヘリウム移送装置の改良と簡易液量計の開発,ヘリウム(He)は貴重な資源であり、わが国では自国で産出できないため、その全てを輸入に頼っている。その一方で液体Heは主要な極低温寒剤のひとつとして分析装置等に多量に用いられている。このことから、個々の大学レベルでは、研究に使用したHeを高い効率で回収し再液化して研究に再供給する、といったサイクルを確実に継続することが重要である。本研究では、可搬式He容器内の液量推定を容易にすること、および、Heトランスファー時の加圧用バルーンが破損しにくくなるような措置を講じることにより、液体He利用者がヘリウムを損失しにくいよう装置を開発・改良することを目的とした。,奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,液体ヘリウム,加圧用バルーン,重量計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00555,山形大学,小林 五月,太平洋諸島の夜行性送粉者を撹乱する人工飛散化学物質について考える,,奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00554,京都府立南陽高等学校,秋田 薫,土壌細菌を利用したクスノキの落ち葉の堆肥化法の開発,クスノキの落ち葉は肉厚で樹脂分も多く、一般的に堆肥化には不向きとされている。本研究では、校内で回収されたクスノキの落ち葉の有効利用を目的として、以下の2つの内容に取り組んだ。,奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,落ち葉,クスノキ,堆肥化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00553,岡山大学,小見山 高明,新固定法による系統解剖実習におけるホルムアルデヒド曝露濃度低減効果の追跡調査,(研究目的)平成28年度の奨励研究により解剖実習中におけるホルムアルデヒド曝露濃度と自覚症状の関係性を調査した。その結果、ホルムアルデヒド曝露濃度が作業環境測定の4～8倍もあり学生の自覚症状にも表れていることが分かった。そこで、我々は発生源となるホルムアルデヒド濃度を少しでも軽減すべく新たな固定方法を開発したため、前回の結果と比較・調査を行うものである。,奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,ホルムアルデヒド曝露濃度,作業環境測定,パッシブサンプラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00552,阿南工業高等専門学校,平田 均,交差する３相交流高圧送電線の弛みが超低周波磁界分布に与える影響,,奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00551,北里大学,中丸 尚美,代替キシレンに伴う組織標本作製時の作業工程と作業環境の整備,平成24年女性労働基準規則が改定され、対象物質にキシレンが追加されたことにより代替キシレンが広く提供されるようになった。本研究では、4種の代替キシレンについて、さまざまな条件下においてキシレンと同等の作業、成果を得ることができ、本施設で行うあらゆる染色に問題がないかを精査し、組織標本作製最終工程である封入時まで脱キシレンで安定した作業工程を確立、さらに臭気対策を中心とした安全な作業環境を整備するとともに、代替キシレンはキシレンに比べ高価で経費負担増となることから、再生・再利用の可能性も併せて検討をした。,奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,代替キシレン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00514,愛知県警察本部刑事部科学捜査研究所,川上 貴大,違法薬物犯罪の捜査現場での使用を目的としたコカインの簡易検査試薬の開発,従来のコカインの簡易検査法であるスコット試験では、コカインとα-PVP等に代表される一部のカチノン系薬物の識別が困難であったが、本研究により開発した試験法で、その識別が可能となった。,奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,コカイン,カチノン,呈色,簡易検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00513,横浜市立横浜サイエンスフロンティア高等学校附属中学校,矢部 重樹,イワザクラの個体群回復と自生地再導入計画,イワザクラは、サクラソウ科サクラソウ属に分類される多年草の一種である。イワザクラの中でも、コイワザクラは絶滅危惧II類(VU)に、チチブイワザクラは絶滅危惧1A類(CR)に指定されており、早急な保全対策が必要である. 本研究ではコイワザクラ、チチブイワザクラの種子発芽特性を明確にし、実生生存率を高める環境条件を探索した。過去の実験結果からも、発芽率向上の条件は明らかになりつつあるが、今後も更なる検討が必要である。また、保全活動に当たり、企業・行政・教育機関と連携を図ることができた。資料館では、チチブイワザクラの展示コーナーを企画し、保全活動に対する理解が深まる内容のパネルを作成・設置した。,奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,サクラソウ,発芽特性,保全,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00512,,樫山 由貴,実験廃液中の銅を触媒として活用した環境浄化システムの教材化の研究,学生実験で排出される銅含有廃液から多孔質材料(ゼオライト、アルミナ、陽イオン交換樹脂など)を用いて効率よく銅イオンを回収する方法として多孔質材料を充填したカラム(ガラスやアクリルパイプなどの細長い配管)に銅廃液を通液する方法、銅イオンを担持した多孔質材料を触媒としてアンモニア分解除去実験に利用した場合、特に天然ゼオライトを担体に用いるとアンモニア除去率が高くなる事が分かった。また、アンモニア吸着剤として陽イオン交換樹脂を担体とした銅担持陽イオン交換樹脂が利用できることも分かった。また、教材化に関して銅担持処理は1時間、アンモニア分解実験は4時間以内に収め、低コストの簡易装置を設計した。,奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,触媒,環境浄化,教材化,銅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00511,,田中 幸記,浦ノ内湾の「藻場」は海洋温暖化によってどのように変化したか?,海の温暖化によって、海藻が茂る藻場がどのように変化したのかを明らかにすることを目的に、高知県浦ノ内湾周辺で調査を行った。その結果、近年、全国的に分布の衰退が著しいコンブ類のカジメ藻場においては、今回の調査では顕著な変化は見られなかった。一方、ホンダワラ類で構成された藻場では、温帯種のトゲモクやヒラネジモクが衰退し、マジリモクなどの熱帯種が分布を拡大したことが明らかとなった。また、アマモ場が減少していることも確認された。,奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,藻場,海洋温暖化,熱帯種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00510,,小吹 健志,ファインバブルの腐敗防止効果による機械加工切削油の異臭防止と被削材への影響調査,腐敗臭に対する効果としては、ファインバブルの添加時間が経過するとともに臭気測定器が示す値が2割程度低下し、ファインバブル添加による異臭低減効果が確認された。被削材の表面粗さや、工具の摩耗度合いは、切削油へのファインバブル添加の有無による違いは認められず、検証の範囲内では有害性は確認されていない。以上の結果から、検証の範囲内でファインバブル添加による切削油腐敗(による異臭)防止効果を確認することができた。また、旋削加工後の表面粗さから、旋削加工での実用に問題ないことは確認できた。しかし、長期的な加工機本体へのダメージや、旋削以外の加工方法や切削油の種類毎の検証は今後も継続した検証が必要である。,奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,ファインバブル,切削油,腐敗臭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00509,,佐藤 孝幸,鋳造実習で発生する粉じんばく露量の測定と改善による健康リスクの低減,"鋳造実習で発生する粉じんは, 大気汚染によるPM2.5問題と同様であり, 学生が将来的に完治不能な「じん肺」を発症する健康リスクの原因となっている. したがって, 長野高専(以下本校)では労働安全衛生法に基づいて定められた「粉じん障害防止規則(以下粉じん則)」に批准するため, 専門業者に依頼して粉じん濃度を定置式測定している. しかし, 各学生が常に粉じん計の周囲で作業していないことから誤差があると考え, 作業者装着型粉じん計を用いて学生個々がばく露する粉じん濃度の測定を実施した. その研究成果をここに報告する.",奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,作業者装着型粉じん計,粉じん(浮遊粒子性物質),鋳造実習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H01174,新島村立式根島中学校,中里 直,低周波分析を利用したセミ鳴音による環境分析方法の開発とESDへの活用,"近年, 西日本の都市部でクマゼミが増加し, 分布域が年々北上していることや, 都市部等で夜に鳴くセミの事例が報告されている. これらのセミの分布, 生態や行動の変化について, 地球温暖化や都市のヒートアイランド現象との関係が指摘されているが, 解明されていないことが多い. セミの鳴音を記録し, 環境要素との関係を分析することで, 都市部の環境変化を理解できると考えた. 本研究では, 主にアブラゼミに注目し, 鳴音のスペクトログラムと生育環境要素から多変量解析を行い, 日変化, 季節変化や地域差を調査する. さらに, 鳴音の低周波数分析を行い, 鳴音から正確な個体数や空間的な配置を求め, 新たな知見を得ることを試みる.",奨励研究,4120:環境解析評価、環境保全対策およびその関連分野,低周波音分析,セミ鳴音,環境評価,アブラゼミ,FFT解析,都市環境,多変量解析,ESD,セミの鳴音,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
