awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13551,九州大学,富樫 甫,変分法による超新星爆発計算用核物質状態方程式のラムダハイペロン混合系への拡張,従来の一様核物質に対する変分法を拡張し、ラムダハイペロン粒子が混合した核物質（ラムダハイペロン物質）の状態方程式を生のバリオン間相互作用に基づいて作成した。この際、ラムダハイペロンが関連する３体バリオン間相互作用を導入することで、重い中性子星の質量とも無矛盾な状態方程式を得ることができた。さらに、有限温度低密度領域におけるアルファ粒子の混合も考慮して、広範囲の密度・温度・陽子混在度をカバーしたラムダハイペロン物質状態方程式の数値テーブルを構築し、大質量星の重力崩壊シミュレーションのテスト計算に適用した。,若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,核物質,状態方程式,ハイペロン,超新星爆発,中性子星,変分法,一様核物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13550,国立研究開発法人理化学研究所,横倉 祐貴,物質と重力のダイナミクスに基づく蒸発するブラックホールの場の理論的定式化,物質と重力の量子論的ダイナミクスからブラックホールの正体を理解することを目指した。まず、蒸発する性質を考慮し半古典的アインシュタイン方程式をプランク定数について非摂動論的に解くと、重力崩壊する物質が生む強い曲率に伴って真空の量子ゆらぎにより大きな圧力が生じ、ホライズンのない高密度物体が形成される。これがブラックホールだと考えられる。次に、ホライズンをもつ古典的ブラックホールに対し、摂動的に様々な量子効果を有効場理論の立場から調べると、従来のホライズン描像に矛盾が生じることが示された。そして、一般の量子多体系の時間発展の熱力学的有効理記述を構成し、エントロピーを対称性によって特徴づけた。,若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,ブラックホール,量子重力,半古典的アインシュタイン方程式,エントロピー,情報問題,対称性,低エネルギー有効理論,非摂動解,非摂動,アノマリー,高階微分相互作用,ホーキング輻射,平均場近似,量子多体系,場の理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13549,国立研究開発法人理化学研究所,LIANG HAOZHAO,Ab initio nuclear Density Functional Theory with uncertainty quantification from Functional Renormalization Group in Kohn-Sham scheme,密度汎関数理論（DFT）は、量子多体問題において大きな成功を収めてきた。その基礎となるHohenberg-Kohnの定理は、普遍的なエネルギー密度汎関数の存在を保証する一方、そのような汎関数を得るための手法を与えてはくれない。本研究の目標は、核子自由度から出発した第一原理的原子核DFTの開発である。（1）実験データを用いた開発、（2）他の第一原理手法の応用、（3）ab initio相互作用からの開発、および（4）機械学習の応用といった戦略を主軸に、我々は新しい理論的枠組みと計算手法を提案した。これにより、核質量、ベータ崩壊半減期、殻進化とそのテンソル力効果などの正確な記述も達成された。,若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,原子核構造,原子核密度汎関数理論,汎関数繰り込み群法,第一原理計算,機械学習アプローチ,逆コーンシャム法,非相対論的極限,原子核密度汎関数法,密度汎関数理論,汎関数繰込群,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13548,国立研究開発法人理化学研究所,田中 章詞,機械学習を用いた場の量子論のモンテカルロ法の改良,本研究では、場の量子論における数値シミュレーション(MCMC)を機械学習で高速化する手法の開発を目的としていた。そのために、MCMCの実行中に機械学習モデルを訓練し続けることができ、かつ目的の理論への修正ステップも含めた汎用的手法である自己学習モンテカルロ法(SLMC)をいくつかの理論に応用した。最終的にはフェルミオンの入った非可換ゲージ群(SU(2))を持つ格子ゲージ理論への応用し、その正確性をチェックし、実際に自己相関が改善することまで示した。,若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,機械学習,場の量子論,マルコフ連鎖モンテカルロ法,ハイブリッドモンテカルロ法,Machine learning,Monte Carlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13547,立命館大学,西中 崇博,アルジレス・ダグラス理論の双対性の研究,"本研究課題ではこれまで主に、(A_1,D_{2n}) タイプのアルジレス・ダグラス（AD）理論をゲージ化した理論のS双対性を、その分配関数とカイラル代数の計算により調べてきた。これまで (A_1, D_{2n-1}) ではなく (A_1, D_{2n}) タイプのアルジレス・ダグラス理論に焦点を絞っていた理由は、前者の場合にはAGT対応による分配関数の計算法が不明であり、特に、対応する2次元リウビル理論のイレギュラー状態が特定されていなかったためである。このような「(A_1,D_{2n-1}) タイプのAD理論に対応するイレギュラー状態」を特定することは、10年以上もの間、未解決問題として残されていた。",若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,弦理論,素粒子論,共形場理論,超対称性,双対性,超弦理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13546,京都産業大学,菊地 健吾,グラディエントフロー方程式を用いた場の理論の新しい解析手法の発展,グラディエントフローは、ゲージ場の量子論の発散を押さえる新しい解析手法である。グラディエントフロー方程式は一種の拡散方程式で、その解で与えられるフロー場の相関関数は、新たな繰り込みを必要とせず、紫外発散が出ないという性質を持つ。本研究はこの方程式そのものの性質に着目した、場の量子論の手法の基盤となる研究である。,若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,場の量子論,グラディエントフロー,超対称性,自発的対称性の破れ,場の理論,素粒子論,超対称性理論,スファレロン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13545,京都産業大学,山縣 淳子,少数核子系から探る中間子原子核の新しい描像,"本研究では、中間子と原子核の束縛状態である中間子ー原子核状態の理論的探究を行なった。具体的には、J-PARC E62実験で得られた非常に精度の良い4He, 3Heに対するK中間子原子のデータよりK中間子ー原子核間相互作用の情報を引き出し、これまで得られている多くのK中間子原子の実験データも同時に再現するポテンシャルパラメータを決定した。ポテンシャルの実部と虚部の関係がどのようにK中間子原子状態に影響をもたらすのか考察し、実部と比べて虚部の大きさが大きいことがポイントであることを示した。",若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,エキゾチック原子核,中間子ー原子核束縛系,反K中間子,強い相互作用,量子色力学,K中間子原子,ハドロン多体系,中間子原子,K中間子,ストレンジネス,ハドロン,中間子原子核,ハドロン分子状態,ハドロン物理,理論核物理,カイラル対称性,少数多体系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13544,早稲田大学,角田 慶吾,超弦模型における暗黒物質の検証,,若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13543,東海大学,林 博貴,Topological vertexを用いた5次元超対称性理論の分配関数の計算,超弦理論は万物の理論の有力候補と考えられている理論であるが、幾何学的な性質から物理量を解析するという強力な手法を与えるという側面も持つ。本研究では超弦理論に存在するブレーンと呼ばれる物体を用いて、超対称ゲージ理論という種類の場の量子論の性質を調べた。我々は、従来はブレーンからは実現困難であった様々なゲージ理論をブレーンを用いて実現し、それらの分配関数をブレーンの幾何学的な特徴から計算することに成功した。,若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,超弦理論,超対称ゲージ理論,Topological vertex,'t Hooft演算子,ヒッグス枝,超対称指数,超対称性理論,超対称性ゲージ理論,高次元超対称性理論,グロモフ-ウィッテン不変量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13542,国立研究開発法人日本原子力研究開発機構,GUBLER PHILIPP,,本プロジェクトの目的はストレンジ・クォーク及びチャーム・クォークがかかわる現象を通じて、強い相互作用に関する理解を深め、または非常に高温・高密度の物質におけるハドロン粒子の振る舞いを研究することであった。特に、ストレンジ・クォーク及び反ストレンジ・クォークから構成されるphi中間子の分散関係（エネルギーと運動量の関係）に焦点を当て、核物質においていかなる変更を受けるかを調べ、J-PARCのE16実験に対する予測を与えた。,若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,ストレンジ・クォーク,チャーム・クォーク,カイラル対称性,分散関係,phi中間子,lattice QCD,QCD sum rules,J/Psi,tetraquark,QCD condensates,phi meson,pentaquark,D meson,analytic continuation,nuclear matter,hadron physics,QCD,chiral symmetry,flavor physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13541,大阪市立大学,鈴木 良拓,高次元極限を用いた高次元重力理論におけるブラックホールダイナミクスの理論的研究,時空次元が大きいとして近似する高次元極限を用いて、高次元重力理論におけるブラックホールの非線形ダイナミクスを理論的に解明した。時空次元が5以上の高次元時空では、ブラックホールは4次元時空においては存在しない球面以外の形状や不安定性、それに付随する非線形ダイナミクスなど、豊かな物理を持つが、4次元における従来の手法を用いることができないため、対称性の高い場合を除いて解析は困難であった。高次元極限では、対称性の有無に関わらず重力の方程式が劇的に簡略化するため、本手法を用いて、様々な対称性の低いブラックホールや、非線形ダイナミクスを、高度な数値計算を用いることなく理論的に解明した。,若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,ブラックホール,一般相対論,高次元時空,高次元極限,修正重力理論,高次元重力理論,Ricci flow,Gauss-Bonnet重力理論,AdS/CFT対応,ブラックホール相互作用,エントロピー,非軸対称定常解,トポロジー転移,リッチフロー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13540,京都府立医科大学,酒谷 雄峰,超弦理論およびM理論の双対性,超弦理論およびM理論は重力を含む統一理論の候補だが、高次元の時空で定義されるため、我々が観測する4次元時空の理論を得るには時空のコンパクト化が必要となる。最も簡単なトーラスコンパクト化を行うと、これらの理論にはT双対性やU双対性と呼ばれる対称性が現れる。一方、トーラス以外の空間でコンパクト化した場合にもある種の一般化されたT双対性が現れることが知られていたが、U双対性の一般化については研究が進んでいなかった。本研究では、double field theoryなどの近年発展された定式化を用いることで、一般化されたT双対性の構造を詳しく調べ、それを一般化されたU双対性へと拡張した。,若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,超弦理論,M理論,T双対性,U双対性,超重力理論,双対性,コンパクト化,Double Field Theory,Exceptional Field Theory,Drinfel'd double,素粒子論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13539,神戸大学,野海 俊文,インフレーション宇宙で探る高エネルギー究極理論の粒子スペクトル,初期宇宙の加速膨張「インフレーション」の膨張エネルギーは典型的に10の14乗GeVにも迫る。これは世界最大の加速器 Large Hadron Collider の衝突エネルギーより１０桁も高く、大統一理論や弦理論をも視野に捉える。本研究では、インフレーションを超高エネルギー加速器「Cosmological Collider」とみなし、高エネルギー理論が予言する「新粒子」を探査する手法を理論的に開発した。特に、低エネルギー有効理論の視点を取り入れることで、大統一理論や余剰次元理論が予言する「重い新粒子」を探索する手法を提案した。,若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,インフレーション,弦理論,大統一理論,余剰次元,非ガウス性,有効場理論,共形場理論,インフレーション宇宙,散乱振幅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13538,大阪大学,赤松 幸尚,量子開放系理論に基づくクォーク・グルーオン・プラズマ中の力の統一的記述,本研究ではクォーク・グルーオン・プラズマ中のクォーコニウムの運動を量子開放系として扱った。クォーコニウムに働く力はポテンシャル力、散乱によるランダム力、散逸による摩擦力に分類され、それぞれ内部カラー自由度に応じて異なる。このように一見単純に見えるクォーコニウムが実際には多彩で複雑なダイナミクスを持つ。これらの力を量子論的に記述するマスター方程式を導出し、数値計算を行った。数値計算と解析的考察により、クォーコニウムが熱平衡分布に緩和するために必要な微分展開の次数や、クォーコニウムを双極子として扱う近似の妥当性について、詳細に調べた。,若手研究,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,クォーク・グルーオン・プラズマ,クォーコニウム抑制,量子開放系,量子散逸,Lindblad方程式,Lindblad形式,クォーコニウム,非線形確率論的シュレーディンガー方程式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
